docId,sku,name,price,cat,supplier,sourceUrl,diagnosis_group,diagnosis_reason,matched_variant,matched_in_set
"bSzEL5wJA7xjnn0onF9O","","H15 סט 3 צנצנות זכוכית מכסה שחור 0.85ל D10","119.57","עיצוב הבית","paldinox","https://paldinox.co.il/product/h15-%d7%a1%d7%98-3-%d7%a6%d7%a0%d7%a6%d7%a0%d7%95%d7%aa-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%9e%d7%9b%d7%a1%d7%94-%d7%a9%d7%97%d7%95%d7%a8-0-85%d7%9c-d10-2/","A","no_sku","",""
"boENLqdXPVhnf74MltaX","","מעמד קומותיים עץ ערבסק מתכת זהב על בסיס ופעמון זכוכית שקוף גובה 43 קוטר 25 ס”מ","544.76","עיצוב הבית","paldinox","https://paldinox.co.il/product/%d7%9e%d7%a2%d7%9e%d7%93-%d7%a7%d7%95%d7%9e%d7%95%d7%aa%d7%99%d7%99%d7%9d-%d7%a2%d7%a5-%d7%a2%d7%a8%d7%91%d7%a1%d7%a7-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%96%d7%94%d7%91-%d7%a2%d7%9c-%d7%91%d7%a1%d7%99%d7%a1/","A","no_sku","",""
"bywhU9Jwd92Lfjb0pcnM","","אגרטל קריסטל יוקו – גובה 33 ס""מ","476.13","עיצוב הבית","paldinox","https://paldinox.co.il/product/%d7%99%d7%95%d7%a7%d7%95-%d7%90%d7%92%d7%a8%d7%98%d7%9c-%d7%92%d7%95%d7%91%d7%94-33-%d7%a1%d7%9e/","A","no_sku","",""
"c1XFIVGmeznXIjOQiS3D","","אגרטל זכוכית קלאסי גובה 25 ס”מ","108.72","עיצוב הבית","paldinox","https://paldinox.co.il/product/%d7%90%d7%92%d7%a8%d7%98%d7%9c-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a7%d7%9c%d7%90%d7%a1%d7%99-%d7%92%d7%95%d7%91%d7%94-25-%d7%a1%d7%9e/","A","no_sku","",""
"c77DE2LOShhTun3gJ56b","","סט 6 חבקים למפיות בעיצוב פנינים זהב","150.01","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a1%d7%986-%d7%97%d7%91%d7%a7%d7%99%d7%9d-%d7%9c%d7%9e%d7%a4%d7%99%d7%95%d7%aa-%d7%a4%d7%a0%d7%99%d7%a0%d7%99%d7%9d-%d7%96%d7%94%d7%91-5%d7%a1%d7%9e-2/","A","no_sku","",""
"cbZtGFWMh7OMq3Rswu0T","","מגש עגול עם רגל ניקל","84.8","עיצוב הבית","paldinox","https://paldinox.co.il/product/h13-d16-%d7%9e%d7%92%d7%a9-%d7%a2%d7%92%d7%95%d7%9c-%d7%a2%d7%9d-%d7%a8%d7%92%d7%9c-%d7%a0%d7%99%d7%a7%d7%9c/","A","no_sku","",""
"cfa4LJf1zxBqkQ86ayu5","","מכסה לסיר X1837M זכוכית/ סיליקון/ ידית D20","50.07","עיצוב הבית","paldinox","https://paldinox.co.il/product/%d7%9e%d7%9b%d7%a1%d7%94-%d7%9c%d7%a1%d7%99%d7%a8-x1837m-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-%d7%a1%d7%99%d7%9c%d7%99%d7%a7%d7%95%d7%9f-%d7%99%d7%93%d7%99%d7%aa-d20-2/","A","no_sku","",""
"dEcR5kkP6YI9mlCqNGJi","","סיר בישול שחור 32 ס""מ עם מכסה זכוכית","392.16","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a1%d7%99%d7%a8-32-%d7%a1%d7%9e-8-8-%d7%9c%d7%99%d7%98%d7%a8-%d7%a9%d7%97%d7%95%d7%a8-%d7%9e%d7%9b%d7%a1%d7%94-%d7%96%d7%9b%d7%95%d7%9b%d7%99%d7%aa-oslo-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%a9-2/","A","no_sku","",""
"dQLEJdJfGfRieKPEr2do","","דיקנטר DIAMOND 0.7L","391.33","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%93%d7%99%d7%a7%d7%a0%d7%98%d7%a8-diamond-0-7l-2/","A","no_sku","",""
"dU9B6ZlBEz8KJl2B2SWo","","סט6 חבקים למפיות פרח טיטניום","86.98","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a1%d7%986-%d7%97%d7%91%d7%a7%d7%99%d7%9d-%d7%9c%d7%9e%d7%a4%d7%99%d7%95%d7%aa-%d7%a4%d7%a8%d7%97-%d7%98%d7%99%d7%98%d7%a0%d7%99%d7%95%d7%9d-2/","A","no_sku","",""
"dUsLmJ8RSYBCyNbE4H1p","","סט 2 צלחות מתכת עגולות שחור","97.84","כלי שולחן והגשה","paldinox","https://paldinox.co.il/product/%d7%a1%d7%98-2-%d7%a6%d7%9c%d7%97%d7%95%d7%aa-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a2%d7%92%d7%95%d7%9c%d7%95%d7%aa-%d7%a9%d7%97%d7%95%d7%a8-%d7%a7%d7%95%d7%98%d7%a8-30-25-%d7%a1%d7%9e/","A","no_sku","",""
