docId,sku,name,price,cat,supplier,sourceUrl,diagnosis_group,diagnosis_reason,matched_variant,matched_in_set
"gjQXGPI2IMw69thGEtMd","UK18761","כיפה קורדרוי ""ארט-מן"" 18 ס""מ כחול כהה","29.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"gl2eOa9XOrUOSEi4O6Jl","UK00341","כיפה סטן לבן ""עיטורים""16 ס""מ","8.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"gp1FiwnhaDYa8zrPgRM6","UK19687","כיפה קטיפה ""ארט-מן"" עם ריקמה יחי אדוננו גודל","39.22","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"gywXnBVehKPVupGOu3GP","UK11132","כיפה סרוגה 18 ס""מ שחור חלק - 12 יח","17.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"hPybkojbOpwoD7qWNJ8a","UK47600","ברכון דמוי עור חום ""סדר הבדלה נוסח ע.מ"" עם בשמי","43.58","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK47600&lang=he","C","not_found_after_normalization","",""
"hQIQDjzDkim0fpyAhr7w","UK16244","כיפה סרוגה 16 ס""מ שחור עם ריקמה זהב מגן דוד","19.47","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"hUKtcrRQWWl3r32r2Oi9","UK17209","כיפה סרוגה 16 ס""מ לבן מסביב עיטור כחול כהה תכלת","14.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"hWt12mbZwaRX8aa66UBT","UK41214","סט הבדלה מהודר מקריסטל עם פלקטה 21x10 ס""מ","376.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK41214&lang=he","C","not_found_after_normalization","",""
"hawNtu4rx02YpES4W6FT","UK42791","נר הבדלה צבעוני ומהודר 16 ס""מ","23.96","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42791&lang=he","C","not_found_after_normalization","",""
"hgBWp8sR42IDnSCw0DYV","UK17679","כיפה פריק ירוק זית עם חורים 24 ס""מ","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"hgR6TBppWpOc3Vw4oujn","UK18988","כיפה סרוגה 16 ס""מ שחורה עם ריקמה ""נחמן מאומן"" כסף","23.97","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"hi7Z3FnnFFN0r8tm496z","UK15230","כיפה סרוגה כחול רקמה מגן דוד כסף 16 ס""מ","19.47","כיפות","israel-judaica","","C","not_found_after_normalization","",""
"hosGU6zpjL7DLUGkmf9z","UK11256","כיפה DMC סריגה ישראלית חלק עם פס 14-16 ס""מ אין","65.38","כיפות","israel-judaica","","C","not_found_after_normalization","",""
