supplier,sku,sourceUrl,name
"paldinox","","https://paldinox.co.il/product/%d7%9e%d7%92%d7%a9-%d7%97%d7%9c%d7%94-%d7%9e%d7%9c%d7%91%d7%a0%d7%99-%d7%a6%d7%99%d7%a4%d7%95%d7%99-%d7%9b%d7%a1%d7%a3-%d7%9e%d7%aa%d7%9b%d7%aa-%d7%a2%d7%a5-%d7%a1%d7%9b%d7%99%d7%9f-%d7%a4%d7%a0%d7--2",""
"paldinox","","https://paldinox.co.il/product/קערה-לפסח-ציפוי-כסף-קוטר-40סמ-2",""
"paldinox","","https://paldinox.co.il/product/קערה-לפסח-ציפוי-כסף-קוטר-40סמ",""
"paldinox","","https://paldinox.co.il/product/מגש-מצה-עץ-מרובע-כיתוב-על-אלומיניום-זהב",""
"paldinox","","https://paldinox.co.il/product/קערה-לפסח-קעריות-זהב-על-מגש-עץ-קוטר-38-סמ",""
"paldinox","","https://paldinox.co.il/product/קערה-לפסח-אלומיניום-אמייל-לבן-זהב-קוטר-3",""
"paldinox","","https://paldinox.co.il/product/מגש-חלה-ציפוי-זהב-לבן-עץ-אלו-41-30-סמ",""
"paldinox","","https://paldinox.co.il/product/קערה-לפסח-אלומיניום-אמייל-שחור-זהב-d37-5",""
"paldinox","","https://paldinox.co.il/product/h11-קערה-לפסח-רגליים-45סמ-ציפוי-כסף-פס-זהב-עץ",""
"paldinox","","https://paldinox.co.il/product/h30-חנוכיה-ציפוי-כסף-לקה-בארוק-רגל-פרח",""
"paldinox","","https://paldinox.co.il/product/מגש-למצה-זהב-25x25",""
"paldinox","","https://paldinox.co.il/product/h27-חנוכיה-פמוטים-אקווריום-כריות-מוכסף",""
"paldinox","","https://paldinox.co.il/product/h100-פמוט-5-קנים-קריסטלכוס",""
"paldinox","","https://paldinox.co.il/product/נטלה-נירו-שיש-אפור",""
"paldinox","","https://paldinox.co.il/product/סט-6-תחתיות-משושה-ציפוי-כסף-לקה",""
"paldinox","","https://paldinox.co.il/product/33-סמ-קערה-מוכסף-עגול-לפסח",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-6-צלחות-פסים-אדום-ורוד-26-5-סמ",""
"paldinox","","https://paldinox.co.il/product/חמישיית-אגרטלי-זכוכית-שקופה-בסטנד-מתכ-2",""
"paldinox","","https://paldinox.co.il/product/דיקנטר-3-קומות-זכוכית-פסים-שקופה-מכסה-ופ",""
"paldinox","","https://paldinox.co.il/product/מעמד-לנר-דאבל-גלאס-שקוף-לנר-פנימי-כפמוט",""
"paldinox","","https://paldinox.co.il/product/סט-2-מעמדי-זכוכית-שקופה-לנר-גבהים-10-16-סמ-קו",""
"paldinox","","https://paldinox.co.il/product/סט-6-גביעי-גלידה-קריסטל-ירוק-כהה-280-מל-קוט",""
"paldinox","","https://paldinox.co.il/product/מעמד-כדורי-לנר-זכוכית-שקופה-קוטר-10-סמ-גו",""
"paldinox","","https://paldinox.co.il/product/מעמד-כדורי-לנר-זכוכית-שקופה-קוטר-9-סמ-גו",""
"paldinox","","https://paldinox.co.il/product/אגרטל-אקרילי-לפרח-שקוף-15-7-סמ-גובה-19-סמ",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-בסטנד-מתכת-זהב-שקופה-גובה-2",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-בסטנד-מתכת-זהב-שקופה-גובה",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-בסטנד-ירח-מתכת-זהב-שקופה-14",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-בסטנד-מתכת-עלים-בזהב-מלבנ",""
"paldinox","","https://paldinox.co.il/product/אגרטל-זכוכית-בסטנד-מתכת-עלים-בזהב-עגול",""
"paldinox","","https://paldinox.co.il/product/זוג-אגרטלי-זכוכית-בסטנד-מתכת-זהב-שקופה-2",""
"paldinox","","https://paldinox.co.il/product/שלישייית-אגרטלי-זכוכית-בסטנד-מתכת-זהב",""
"paldinox","","https://paldinox.co.il/product/כוס-זכוכית-עם-קשית-על-רגליים-שקופה-300-מל",""
"paldinox","","https://paldinox.co.il/product/זוג-כוסות-זכוכית-פסים-וקימור-שקופה-480-מל",""
"paldinox","","https://paldinox.co.il/product/סט-6-כוסות-שוט-זכוכית-שקופה-20-מל",""
"paldinox","","https://paldinox.co.il/product/זוג-כוסות-זכוכית-צורת-קרטון-חלב-וקשית-ש",""
"paldinox","","https://paldinox.co.il/product/זוג-כוסות-זכוכית-פסים-שקופה-415-מל",""
"paldinox","","https://paldinox.co.il/product/זוג-כוסות-זכוכית-פסים-שקופה-300-מל",""
"paldinox","","https://paldinox.co.il/product/סט-3-מעמדי-נר-פרחי-זכוכית-על-רגל-ירוק-סגו",""
"paldinox","","https://paldinox.co.il/product/סט-3-מעמדי-נר-פרחי-זכוכית-על-רגל-ירוק-ורו",""
"paldinox","","https://paldinox.co.il/product/מעמד-צינורי-ל-5-נרות-זכוכית-שקופה-אורך-35-ס",""
"paldinox","","https://paldinox.co.il/product/צנצנת-3-קומות-זכוכית-קריסטל-פסים-עם-מכסה",""
"paldinox","","https://paldinox.co.il/product/מעמד-לסכום-אקרילי-שקוף-בסיס-מסתובב-מת",""
"paldinox","","https://paldinox.co.il/product/סט-6-כוסות-קרמיקה-500-מל-blue-lake",""
"paldinox","","https://paldinox.co.il/product/jolie-dots-gold-סט-6-מגשים-25-12-סמ-לבן-תכלת-זהב",""
"paldinox","","https://paldinox.co.il/product/סט-6-חבקים-למפיות-עלה-זהב",""
"paldinox","","https://paldinox.co.il/product/סט-6-חבקים-למפיות-פרח-זהב-ופנינה",""
"paldinox","","https://paldinox.co.il/product/מגש-מראה-עיטור-יהלומים-כסף-17-27-סמ",""
"paldinox","","https://paldinox.co.il/product/ella-ivory-זוג-קערות-אובליות-זכוכית-33-20-סמ-עומק-7-ס",""
"paldinox","","https://paldinox.co.il/product/ella-ivory-מערכת-אוכל-זכוכית-18-חלקים-קטרים-27-21-16-5-סמ",""
"paldinox","","https://paldinox.co.il/product/ella-amber-מערכת-אוכל-זכוכית-18-חלקים-קטרים-27-21-16-5-סמ",""
"paldinox","","https://paldinox.co.il/product/מעמד-עציץ-מתכת-שחור-קוטר-20-סמ-גובה-10-5-סמ",""
"paldinox","","https://paldinox.co.il/product/מעמד-עציץ-מתכת-שחור-על-בסיס-קוטר-9-5-סמ-גוב",""
"paldinox","","https://paldinox.co.il/product/קערה-זכוכית-שקופה-על-רגל-עץ-קוטר-26-גובה-11",""
"paldinox","","https://paldinox.co.il/product/צלחת-עץ-עגולה-פעמון-זכוכית-שקוף-קוטר-23-5-ג",""
"paldinox","","https://paldinox.co.il/product/צלחת-עץ-עגולה-פעמון-זכוכית-שקוף-קוטר-29-5-ג",""
"paldinox","","https://paldinox.co.il/product/love-birds-מגש-מתכת-עגול-על-רגל-ירוק-בהיר-גובה-24-ק",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-4-סוכרון-300-מל-אדום-ורוד",""
"paldinox","","https://paldinox.co.il/product/jolie-dots-סט-4-חלבון-250-מל-ורוד-זהב",""
"paldinox","","https://paldinox.co.il/product/jolie-dots-סט-6-מגשים-25-12-סמ-ורוד-זהב",""
"paldinox","","https://paldinox.co.il/product/jolie-dots-מגש-לעוגה-על-רגל-ורוד-זהב-קוטר-21-סמ",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-6-מגשים-לעוגה-33-3-15-5-סמ-אדום-ורוד",""
"paldinox","","https://paldinox.co.il/product/love-birds-מגש-לעוגה-על-רגל-אדום-ורוד-קוטר-24-סמ",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-4-קעריות-ורוד-זהב-15-סמ",""
"paldinox","","https://paldinox.co.il/product/love-birds-קנקן-תה-1-3-ליטר-אדום-ורוד",""
"paldinox","","https://paldinox.co.il/product/jolie-dots-זוג-ספלי-תה-ותחתיות-280-מל-ורוד-זהב",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-6-מאגים-פסים-אדום-ורוד-300-מל",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-6-מאגים-250-מל-אדום-ורוד",""
"paldinox","","https://paldinox.co.il/product/the-blue-bird-סט-6-מאגים-קטנים-250-מל-כחול-לבן",""
"paldinox","","https://paldinox.co.il/product/jolie-flowers-זוג-מאגים-350-מל-ורוד",""
"paldinox","","https://paldinox.co.il/product/jolie-flowers-זוג-מאגים-קטנים-145-מל-ורוד",""
"paldinox","","https://paldinox.co.il/product/jolie-dots-זוג-מאגים-קטנים-145-מל-ורוד-זהב",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-6-מאגים-250-מל-אדום",""
"paldinox","","https://paldinox.co.il/product/the-blue-bird-אגרטל-מתכת-גובה-33-סמ-קוטר-19-סמ-תכלת",""
"paldinox","","https://paldinox.co.il/product/the-blue-bird-אגרטל-מתכת-עגול-גובה-30-סמ-כחול",""
"paldinox","","https://paldinox.co.il/product/delight-אגרטל-מתכת-פסים-תכלת-זהב-29-סמ",""
"paldinox","","https://paldinox.co.il/product/love-birds-סט-4-חלבון-270-מל-אדום-ורוד",""
"paldinox","","https://paldinox.co.il/product/love-birds-פמוט-זכוכית-גובה-23-5-סמ-אדום-צהוב",""
"paldinox","","https://paldinox.co.il/product/צלוחית-שיש-לבן-בסיס-זהב-קוטר-12-גובה-8-5-סמ",""
"paldinox","","https://paldinox.co.il/product/סט-שני-מגשים-לבן-pu-מסגרת-זהב-קוטר-35-30-סמ",""
"paldinox","","https://paldinox.co.il/product/מגש-עגול-כסף-כדורים-מתכת-קוטר-30-סמ",""
"paldinox","","https://paldinox.co.il/product/סט-6-מאגים-זכוכית-פסים-שקופה-וידית-400-מל",""
"paldinox","","https://paldinox.co.il/product/זוג-מאגים-זכוכית-שקופה-וידית-350-מל",""
"paldinox","","https://paldinox.co.il/product/צלחת-הגשה-זכוכית-זהב-מחוספסת-קוטר-33-סמ",""
"paldinox","","https://paldinox.co.il/product/מערכת-אוכל-זכוכית-18-חלקים-kim-gold-שקופה-מעוטר",""
"paldinox","","https://paldinox.co.il/product/מגש-מראה-עיטור-במסגרת-27-17-סמ",""
"paldinox","","https://paldinox.co.il/product/קישוט-כינור-קריסטל-10-6-5-גובה-22-סמ",""
"paldinox","","https://paldinox.co.il/product/מגש-מראה-עיטור-ענבר-42-25-סמ",""
"paldinox","","https://paldinox.co.il/product/סט-4-קופסאות-עגולות-מתכת-לבנה-קוטר-27-גובה-11",""
"paldinox","","https://paldinox.co.il/product/עציץ-מתכת-תלוי-מוקה-גובה-100-קוטר-16-סמ",""
