docId,sku,name,price,cat,supplier,sourceUrl
"zUDfD7kwKyNOgC0PxUby","UK42525","מעמד אקריליק נוסח אשכנזי 13X17 ס""מ עם 6 ברכות","196.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42525&lang=he"
"zVpFINtxxOyfa66OEo4F","UK35846","מחזיק מפתחות ""בלי עין הרע"" משובץ 5.5 ס""מ","32.68","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK35846&lang=he"
"zYFPX4ZnvKJUHyMqauba","UK18261","כיפה בד ארטמן כחול כהה 18 ס""מ","29.97","כיפות","israel-judaica",""
"zYuxiQbt29eKwBviVgjO","UK42125","חנוכייה אלומיניום מהודרת עם קנים גווני כחול 11x30 ס""מ","261.58","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42125&lang=he"
"zaosPEt2kkH9UOlVnZm5","UK82143","מפיון קריסטל מהודר עם פלקטה ""פסים""","141.68","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82143&lang=he"
"zat5HK4UPUyeBCUh1tRq","UK42571","זוג פמוטי קריסטל מהודרים 22.5 ס""מ","174.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42571&lang=he"
"zcHhDGTT4uTcFvPyC5wD","UK66396","כיסוי חלה מהודר דמוי עור לבן עם הבלטות 42x52 ס""מ","130.78","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK66396&lang=he"
"zd6sqIX2t98U9IiUuAyE","UK81791","זוג פמוטי קריסטל מהודרים 34 ס""מ","356.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81791&lang=he"
"zdxyScY3TgTEGqrqOblw","UK67602","כיסוי פסח מהודר דמוי עור 45 ס""מ אריזת פיויסי","217.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK67602&lang=he"
"zfpUYpht72ocKJSClTS5","UK81819","פמוטי קריסטל עם פלקטה""פיליגרין"" 5 ס""מ","98.08","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81819&lang=he"
"zg3Qx2gont4gir5GSRKe","UK82606","זוג פמוטים ציפוי זהב""פולימר"" מהודרים 19 ס""מ","174.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82606&lang=he"
"zhANTJAsBkPt1mAsZLY7","UK80976","שרשרת כסף טהור 925 ""האש שלי""","217.98","תכשיטים","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80976&lang=he"
"zhGrSjnmO0YZXsUlplU4","UK80326","מגש חלה מהודר מעץ ""אקסיה"" עם פלקטה 40X25 ס""מ","332.78","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80326&lang=he"
"zhNTDSe8qSlQuNM1ZjCD","UK82392","יברכך בלוק פולימר בטון 22X16 ס""מ לבן","196.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK82392&lang=he"
"zheYRMZDaj9cvvApk7Kd","UK80849","חמסה עץ אפוקסי ברכת הבית 18.5 ס""מ","54.48","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK80849&lang=he"
"zhog8Sh6cSqeeitrz5eO","UK51783","רימון מהודר מאלומיניום אמייל בורדו 10X8 ס""מ","76.28","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK51783&lang=he"
"zjHSNx6HkeN3gFvQeTaM","UK48661","סט גביע קידוש + פמוטים + מלחייה מקריסטל עם אבני","356.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK48661&lang=he"
"zjPGZDQSi7DBI5f08v0y","UK42668","פמוט קריסטל שבעייה מהודר 46 ס""מ","356.38","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK42668&lang=he"
"zkXUasgM0ZV0slqsXrym","UK49026","מחזיק גפרורים זכוכית עם הדפסה דגם שיש 12.5X7 ס""","39.22","שבת","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK49026&lang=he"
"zlBCFxi0pjCxhsaJVLl0","UK81990","קופת צדקה קריסטל עם פלקטה זהב","196.18","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81990&lang=he"
"zlExdliWDV0iRFuWaW6Q","UK81668","סידור ""כתר התפילה"" לבת ישראל כריכה מהודרת דמוי עור","119.88","ספרי קודש וסידורים","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81668&lang=he"
"zlK3xHkfaD1cCr4FkUF8","UK81481","קופת צדקה ""כותל"" מפולימר 13 ס""מ","108.98","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81481&lang=he"
"zmhI6sDhsMFJpHxlBgRp","UK67610","כיסוי פסח מהודר דמוי עור 45 ס""מ אריזת פיויסי","152.58","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK67610&lang=he"
"zn66t4brN91EXrAtf1zw","UK81936","ברכת העסק בלוק אקריליק מסגרת זהב 21 ס""מ","174.38","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK81936&lang=he"
"znlmfX9O2Zwa7Bp4QGmW","UK49487","קופת צדקה מאקריליק שקוף 12.5X10 ס""מ","71.92","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK49487&lang=he"
"zo7zBiD22Y7wh9ZkfFtJ","UK83182","חסיד יושב מפוליריזין מוכסף עם רגלי בד כסף 10.5 ס""מ - מנגן בסקסופון","71.92","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK83182&lang=he"
"zoPNcouEygohtncITtKb","UK46890","מסגרת זכוכית לבנה מהודרת אשר יצר נוסח אשכנזי 22X18 ס""מ","54.48","יודאיקה","israel-judaica","https://www.israel-judaica.com/index.php?option=com_art&view=product&sku=UK46890&lang=he"
