id,sku,cat,subCategory,price,currentName,componentCodes,componentNames,suggestedName,approved
YsYN8sSOS5Gf1cD73Xa4,ys-0001,בר מצווה,מתנות לבר מצווה,22,מזכרת לבר מצוה לבן,MSN-9470 | MSN-8549 | MSN-901,נר הבדלה עבודת יד – זהב | קופסת גפרורים ממותגת | ברכון הבדלה עם בשמים דגם לואי – לבן,מארז בר מצווה מהודר | נר הבדלה עבודת + קופסת גפרורים ממותגת + ברכון הבדלה עם,
qYbVreEwUPSD6Fdy2H6q,ys-0001,בר מצווה,מתנות לבר מצווה,22,מזכרת לבר מצוה,MSN-9470 | MSN-8549 | MSN-901,נר הבדלה עבודת יד – זהב | קופסת גפרורים ממותגת | ברכון הבדלה עם בשמים דגם לואי – לבן,מארז בר מצווה מהודר | נר הבדלה עבודת + קופסת גפרורים ממותגת + ברכון הבדלה עם,
