supplier,holiday,sku,name,price,supplierPrice,variants,images,url
mysiddurname,ראש השנה,MSN-1310,"מארז סדר סימני ראש השנה חדש עלינו ושוקולדים – שחור",89,89,0,1,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%a1%d7%93%d7%a8-%d7%a1%d7%99%d7%9e%d7%a0%d7%99-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94-%d7%97%d7%93%d7%a9-%d7%a2%d7%9c%d7%99%d7%a0%d7%95-%d7%95%d7%a9%d7%95%d7%a7%d7%95/
mysiddurname,ראש השנה,MSN-fc4312c50a27,"מארז סדר סימני ראש השנה ושוקולדים – לבן",99,99,0,2,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%a1%d7%93%d7%a8-%d7%a1%d7%99%d7%9e%d7%a0%d7%99-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94-%d7%95%d7%a9%d7%95%d7%a7%d7%95%d7%9c%d7%93%d7%99%d7%9d-%d7%9c%d7%91%d7%9f/
mysiddurname,ראש השנה,MSN-692b95126371,"מארז סדר סימני ראש השנה ושוקולדים – חום",99,99,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%a1%d7%93%d7%a8-%d7%a1%d7%99%d7%9e%d7%a0%d7%99-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94-%d7%95%d7%a9%d7%95%d7%a7%d7%95%d7%9c%d7%93%d7%99%d7%9d-%d7%97%d7%95%d7%9d/
mysiddurname,ראש השנה,MSN-103335dec964,"מארז סדר סימני ראש השנה ושוקולדים – זהב",99,99,0,2,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%a1%d7%93%d7%a8-%d7%a1%d7%99%d7%9e%d7%a0%d7%99-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94-%d7%95%d7%a9%d7%95%d7%a7%d7%95%d7%9c%d7%93%d7%99%d7%9d-%d7%96%d7%94%d7%91/
mysiddurname,ראש השנה,MSN-f141b3e7ffe8,"מארז סדר סימני ראש השנה ושוקולדים – ורוד",99,99,0,2,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%a1%d7%93%d7%a8-%d7%a1%d7%99%d7%9e%d7%a0%d7%99-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94-%d7%95%d7%a9%d7%95%d7%a7%d7%95%d7%9c%d7%93%d7%99%d7%9d-%d7%95%d7%a8%d7%95%d7%93/
mysiddurname,ראש השנה,MSN-1556,"סט משפחתי ספרון יחדש עלינו כריכה רכה",149,149,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%a1%d7%a4%d7%a8%d7%95%d7%9f-%d7%99%d7%97%d7%93%d7%a9-%d7%a2%d7%9c%d7%99%d7%a0%d7%95-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a8%d7%9b%d7%94/
mysiddurname,ראש השנה,MSN-96d23fde04c9,"סט משפחתי ספרון יחדש עלינו כריכה קשה",239,239,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%a1%d7%a4%d7%a8%d7%95%d7%9f-%d7%99%d7%97%d7%93%d7%a9-%d7%a2%d7%9c%d7%99%d7%a0%d7%95-%d7%9b%d7%a8%d7%99%d7%9b%d7%94-%d7%a7%d7%a9%d7%94/
mysiddurname,ראש השנה,MSN-1554,"סט משפחתי סדר סימני ראש השנה דמוי עור",249,249,0,3,https://mysiddurname.co.il/product/%d7%a1%d7%98-%d7%9e%d7%a9%d7%a4%d7%97%d7%aa%d7%99-%d7%a1%d7%93%d7%a8-%d7%a1%d7%99%d7%9e%d7%a0%d7%99-%d7%a8%d7%90%d7%a9-%d7%94%d7%a9%d7%a0%d7%94-%d7%93%d7%9e%d7%95%d7%99-%d7%a2%d7%95%d7%a8/
mysiddurname,ראש השנה,MSN-fb4bd97bdf85,"ברכון שנה טובה ומתוקה",7.9,7.9,0,1,https://mysiddurname.co.il/product/%d7%91%d7%a8%d7%9b%d7%95%d7%9f-%d7%a9%d7%a0%d7%94-%d7%98%d7%95%d7%91%d7%94-%d7%95%d7%9e%d7%aa%d7%95%d7%a7%d7%94/
mysiddurname,פורים,MSN-10062,"מארז יין עם מגילת אסתר לפורים (יחידה)",129,129,0,3,https://mysiddurname.co.il/product/%d7%9e%d7%90%d7%a8%d7%96-%d7%99%d7%99%d7%9f-%d7%a2%d7%9d-%d7%9e%d7%92%d7%99%d7%9c%d7%aa-%d7%90%d7%a1%d7%aa%d7%a8-%d7%9c%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%99%d7%97%d7%99%d7%93%d7%94/
