id,source,name,code_or_url,reason,prevStatus,checkedUrl
"Ts9B4VnhLaAEHzrrYoE9","israel-judaica","כיפה בוכרית גודל 54 ס""מ - צבעים שונים","UK10104","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"UNiMch1WSKat4JyW0bLF","israel-judaica","קופת צדקה פולימר ""הבית של הרבי"" 14x8 ס""מ","UK81204","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"UiTlWkvcqZRI8Sjcn6kB","israel-judaica","נטלה מהודרת מפולימר 14 ס""מ","UK48985","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"UyZTa7uR1HBoHoer2Bu8","israel-judaica","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 12 ס""מ","UK41272","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"VB0eDqmYKPB8n3AwUWim","israel-judaica","כיסוי חלה מהודר דמוי עור לבן פרחים ורודים 45X55 ס""מ","UK60199","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"VNUFWwvBWiu55rhtEonc","israel-judaica","נטלה ""במבוק עבה"" עם הדפסה ""נטילת ידים"" 14 ס""מ","UK82706","not_at_supplier","inactive","https://www.israel-judaica.com (feed)"
"Vv0R6yIKTowjbPhgmLab","israel-judaica","מחזיק מפתחות ""מגן דוד"" עם תהילים 3 ס""מ","UK35678","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"ZnWxGOgKWIgN8Ry7zseV","israel-judaica","זוג פמוטי קריסטל מהודרים 34 ס""מ","UK46914","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"aQBijxoKM0Lel2R9JXNl","israel-judaica","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 12 ס""מ","UK80879","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"ai5z35oqWWnp2LlDR5G7","israel-judaica","חמסה ""פולימר"" ""ברכת הבית"" עברית 19 ס""מ","UK47376","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"bQRRTTRBUYlypgLsivIJ","israel-judaica","גביע קידוש מהודר מפולימר ""בורא"" עם רגל ותחתית 15","UK83442","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"bgjnvqfSmyJECYFBr7Li","israel-judaica","תיק טלית תפילין פיו רצועה תפורה 38X29.5 ס""מ לבן","UK60433","not_at_supplier","inactive","https://www.israel-judaica.com (feed)"
"bjPB8HIc5hwI1beeD0mM","israel-judaica","נטלה אקריליק עם הדפסה ירושלים 13 ס""מ","UK83634","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"clEkd4MhJWmJ7JBlyYXU","israel-judaica","צלחת עגולה מהודרת לראש השנה מזכוכית וקריסטל 40 ס""מ","UK84652","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"djtxxRWVwHWkq4RCU5gF","israel-judaica","גביע קידוש מהודר מפולימר ""בורא"" עם רגל ותחתית 15 ס""מ","UK83406","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"etnh3LnXpL6s4K9MLVjo","israel-judaica","חמסה ""פולימר"" ""ברכת הבית"" אנגלית 19 ס""מ","UK49005","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"foqxkZCB2Hsog6s7jHZ8","israel-judaica","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 14 ס""מ","UK41238","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"hy49yrojsIPUzfwWlXex","israel-judaica","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 12 ס""מ","UK41276","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"iCUFVnkxKnTJEA1HhIHk","israel-judaica","שעון ברכת הבית מסגרת שחורה 30 ס""מ","UK40553","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"jtwJu4dAKTRfANrV82fD","israel-judaica","סידור ""כתר התפילה"" כריכה קשה 17.5X12 ס""מ","UK81360","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"k2mxmN9JgPl01uZyUr0s","israel-judaica","סטנד צמידים עם אורנומנטים מעורב - 24 יח","UK41344","not_at_supplier","inactive","https://www.israel-judaica.com (feed)"
"k3wxSy1OllumsaoC6f8U","israel-judaica","גביע קידוש מהודר מקרמיקה בלי רגל עם תחתית 9 ס""מ","UK42568","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"kpYFfVtt3d7Sd2bEaQZW","israel-judaica","סט להגשת תפוח בדבש זכוכית בלתי שבירה 19 ס""מ","UK81503","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"ky9b2DFZvbcabfk3YWbW","israel-judaica","נטלה מהודרת קלה ""עץ מנגו עבודת יד"" 14 ס""מ","UK41271","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"laoGaLDzjapyVV9MsKcI","israel-judaica","סט פולימר מגש להדלקת נרות וזוג פמוטים מהודרים","UK83143","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"lk00nqFJZCDK5lXlsLGl","israel-judaica","סכין מהודרת זהב עם ידית מתכת 35 ס""מ","UK81758","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"lz5nFWKyWpvriE3Wzaac","israel-judaica","ברכת העסק בלוק פולימר בטון 22X16 ס""מ לבן","UK82389","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"mfCPqbarLCPHmtcUVpSX","israel-judaica","תיק מפואר לטלית תפילין דמוי עור גוון כחול 36X33 ס""מ","UK66734","not_at_supplier","inactive","https://www.israel-judaica.com (feed)"
"pjfvS4QHi43YtluJ1Er6","israel-judaica","גביע קידוש מהודר מפולימר ""ירושלים"" עם תחתית 8 ס""מ","UK83439","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"s98KppkEgfFvxZc8SZ0h","israel-judaica","כיפה מהודרת משי פשתן כחול כהה 17 ס""מ","UK12779","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"srBRSQluhalP06X3P89f","israel-judaica","מחזיק מפתחות ניקל עם לולאה מזל ברכה והצלחה ושיבוץ אבנים","UK35776","not_at_supplier","active","https://www.israel-judaica.com (feed)"
"to7nfjk10weFsDEgIcfa","israel-judaica","חסיד פוליריזן עומד על במה ומחזיק ספר תורה 11 ס""מ","UK40797","not_at_supplier","active","https://www.israel-judaica.com (feed)"
